Año,Trimestre,Provincia,Mbps (Media de bajada),Velocidad anterior,Variación (%)
2024,1,Chaco,107.51,107.14,0.3453425424678034
2024,2,Chaco,107.76,107.51,0.2325365082317924
2014,2,Chubut,3.15640525285759,3.17591667514646,-0.6143556108244045
2014,3,Chubut,3.16574179076398,3.15640525285759,0.2957965520408914
2014,4,Chubut,3.17464915813126,3.16574179076398,0.28136746317299416
2015,1,Chubut,3.2131565777598,3.17464915813126,1.212966148713175
2015,2,Chubut,3.21657164748512,3.2131565777598,0.10628394983790856
2015,3,Chubut,3.27903841147495,3.21657164748512,1.9420293043579462
2015,4,Chubut,3.2838650316133,3.27903841147495,0.14719620610296333
2016,1,Chubut,3.37966393307142,3.2838650316133,2.9172606223421984
2016,2,Chubut,3.33597349898555,3.37966393307142,-1.2927449282261776
2016,3,Chubut,3.34386632798464,3.33597349898555,0.2365974730162106
2016,4,Chubut,3.40719129144482,3.34386632798464,1.893764799454348
2017,1,Chubut,3.44338620087336,3.40719129144482,1.0623092844661397
2017,2,Chubut,3.44726909222351,3.44338620087336,0.11276374834647479
2017,3,Chubut,3.47834691566909,3.44726909222351,0.9015200906621008
2017,4,Chubut,5.40823807689014,3.47834691566909,55.48299833255186
2018,1,Chubut,5.41863793882778,5.40823807689014,0.19229667388496574
2018,2,Chubut,5.32985773059891,5.41863793882778,-1.6384229622117243
2018,3,Chubut,6.07672232294286,5.32985773059891,14.01284293305191
2018,4,Chubut,6.08522390368403,6.07672232294286,0.1399040517133998
2019,1,Chubut,5.89173056919616,6.08522390368403,-3.1797241572446913
2019,2,Chubut,6.05440689354379,5.89173056919616,2.7610957839476473
2019,3,Chubut,6.96632358847429,6.05440689354379,15.062031854894586
2019,4,Chubut,6.99411352344506,6.96632358847429,0.39891823309426194
2020,1,Chubut,7.1170477818654,6.99411352344506,1.7576817706525718
2020,2,Chubut,7.60548798455908,7.1170477818654,6.86296084646572
2020,3,Chubut,7.40207444184479,7.60548798455908,-2.6745626727340426
2020,4,Chubut,7.38308762641474,7.40207444184479,-0.25650668038023194
2021,1,Chubut,7.5315274091442,7.38308762641474,2.0105380057847517
2021,2,Chubut,7.67690621713348,7.5315274091442,1.9302699185927703
2021,3,Chubut,8.1768603631366,7.67690621713348,6.51244305795102
2021,4,Chubut,9.08266063855547,8.1768603631366,11.077604791962118
2022,1,Chubut,13.4,9.08266063855547,47.53386186331377
2022,2,Chubut,14.91,13.4,11.268656716417908
2022,3,Chubut,15.57,14.91,4.426559356136822
2022,4,Chubut,15.92,15.57,2.247912652536928
2023,1,Chubut,18.36,15.92,15.326633165829143
2023,2,Chubut,18.58,18.36,1.1982570806100157
2023,3,Chubut,19.26,18.58,3.659849300322946
2023,4,Chubut,20.29,19.26,5.34787123572169
2024,1,Chubut,20.5,20.29,1.0349926071956672
2024,2,Chubut,21.67,20.5,5.70731707317074
2014,2,Corrientes,3.36697059898026,3.21862508234916,4.608971620976369
2014,3,Corrientes,3.41092777664112,3.36697059898026,1.3055408821857006
2014,4,Corrientes,3.8061123116725,3.41092777664112,11.585837077457397
2015,1,Corrientes,4.62819022139316,3.8061123116725,21.59888732656495
2015,2,Corrientes,4.84719763799374,4.62819022139316,4.732031444780492
2015,3,Corrientes,5.06347381678221,4.84719763799374,4.461880759580228
2015,4,Corrientes,5.25948212049208,5.06347381678221,3.8710243363010237
2016,1,Corrientes,5.37127911707625,5.25948212049208,2.125627467171824
2016,2,Corrientes,5.60182256952425,5.37127911707625,4.292151784014748
2016,3,Corrientes,5.95819256106671,5.60182256952425,6.36167938415667
2016,4,Corrientes,6.23624560407751,5.95819256106671,4.6667347548938505
2017,1,Corrientes,6.43297127701597,6.23624560407751,3.1545530023678525
2017,2,Corrientes,6.79158048260705,6.43297127701597,5.574550081893509
2017,3,Corrientes,7.44741642808526,6.79158048260705,9.656602717994407
2017,4,Corrientes,10.384400430892,7.44741642808526,39.43628010018291
2018,1,Corrientes,11.1185028652536,10.384400430892,7.069280881905872
2018,2,Corrientes,10.8776528955992,11.1185028652536,-2.16620863953797
2018,3,Corrientes,11.4932283654571,10.8776528955992,5.659083588767066
2018,4,Corrientes,12.1389233933877,11.4932283654571,5.6180474919582775
2019,1,Corrientes,12.049695550812,12.1389233933877,-0.7350556526644138
2019,2,Corrientes,13.8330350838162,12.049695550812,14.79987212526731
2019,3,Corrientes,16.6999225509086,13.8330350838162,20.72493454778034
2019,4,Corrientes,19.2554116079714,16.6999225509086,15.302400650497406
