Año,Trimestre,Provincia,Accesos por cada 100 hogares,Acceso anterior,Variación (%)
2018,2,Formosa,29.434226520797,21.4043102592114,37.51541705544988
2018,3,Formosa,29.5765734288784,29.434226520797,0.4836101535769039
2018,4,Formosa,29.73653915732,29.5765734288784,0.5408528098302579
2019,1,Formosa,29.6776946304319,29.73653915732,-0.19788626570423506
2019,2,Formosa,30.4182360069433,29.6776946304319,2.495279319142389
2019,3,Formosa,30.1124329977775,30.4182360069433,-1.0053278865217457
2019,4,Formosa,30.471313480544,30.1124329977775,1.1918016813619454
2020,1,Formosa,30.2283039626068,30.471313480544,-0.7975026022175307
2020,2,Formosa,31.1394362262631,30.2283039626068,3.014169318872118
2020,3,Formosa,31.9056233101865,31.1394362262631,2.4605040321095917
2020,4,Formosa,32.4873819075967,31.9056233101865,1.8233732397400375
2021,1,Formosa,32.7329557563272,32.4873819075967,0.7559053217307038
2021,2,Formosa,33.2254841932261,32.7329557563272,1.5046867156312231
2021,3,Formosa,33.9620335406843,33.2254841932261,2.2168205079412093
2021,4,Formosa,34.4545746388443,33.9620335406843,1.4502697477463018
2022,1,Formosa,34.9556869957513,34.4545746388443,1.454414579659456
2022,2,Formosa,43.42,34.9556869957513,24.214408960915286
2022,3,Formosa,43.76,43.42,0.7830492860432895
2022,4,Formosa,39.41,43.76,-9.940585009140772
2023,1,Formosa,38.79,39.41,-1.5732047703628456
2023,2,Formosa,38.32,38.79,-1.2116524877545731
2023,3,Formosa,38.86,38.32,1.4091858037578266
2023,4,Formosa,39.23,38.86,0.9521358723623197
2024,1,Formosa,39.61,39.23,0.9686464440479291
2024,2,Formosa,39.69,39.61,0.2019691996970419
2014,2,Jujuy,18.7060609994136,18.4153524468777,1.5786206284919047
2014,3,Jujuy,18.3685342155704,18.7060609994136,-1.804371234830161
2014,4,Jujuy,19.5994181805212,18.3685342155704,6.7010462049139585
2015,1,Jujuy,19.6897136326236,19.5994181805212,0.4607047580225573
2015,2,Jujuy,20.2872190775949,19.6897136326236,3.0346070853021576
2015,3,Jujuy,21.2703333470887,20.2872190775949,4.84597847410021
2015,4,Jujuy,21.4714737939107,21.2703333470887,0.9456384323639618
2016,1,Jujuy,21.410011288564,21.4714737939107,-0.286251917016199
2016,2,Jujuy,21.8882810435767,21.410011288564,2.233860358906792
2016,3,Jujuy,22.6051542652569,21.8882810435767,3.2751462769186785
2016,4,Jujuy,22.6513870082414,22.6051542652569,0.20452301471597586
2017,1,Jujuy,22.7569859622323,22.6513870082414,0.4661919994236048
2017,2,Jujuy,22.4034158946241,22.7569859622323,-1.5536770475448178
2017,3,Jujuy,22.6453629950826,22.4034158946241,1.0799562959350197
2017,4,Jujuy,22.742083716267,22.6453629950826,0.42711049147414104
2018,1,Jujuy,23.1212608756775,22.742083716267,1.6672929540721055
2018,2,Jujuy,23.4322027298545,23.1212608756775,1.3448308716766202
2018,3,Jujuy,23.2637001371955,23.4322027298545,-0.7191069256340702
2018,4,Jujuy,46.5322663913268,23.2637001371955,100.02091720967474
2019,1,Jujuy,46.4084387403666,46.5322663913268,-0.2661113686551103
2019,2,Jujuy,44.511922790626,46.4084387403666,-4.086575634122733
2019,3,Jujuy,44.3224868429136,44.511922790626,-0.4255847328893607
2019,4,Jujuy,45.3775463317507,44.3224868429136,2.3804158204759855
2020,1,Jujuy,46.6702306399878,45.3775463317507,2.848731173753675
2020,2,Jujuy,47.8878102278728,46.6702306399878,2.6088998729776076
2020,3,Jujuy,54.0444192382091,47.8878102278728,12.856317674665544
2020,4,Jujuy,53.4565912339089,54.0444192382091,-1.0876756797205218
2021,1,Jujuy,55.6324478962054,53.4565912339089,4.070324373613059
2021,2,Jujuy,56.1821570114677,55.6324478962054,0.9881088034952307
2021,3,Jujuy,55.6892647441935,56.1821570114677,-0.8773110423182808
2021,4,Jujuy,56.9210705148705,55.6892647441935,2.211926798343005
2022,1,Jujuy,58.0646286642678,56.9210705148705,2.0090243192080313
2022,2,Jujuy,57.32,58.0646286642678,-1.2824135474511955
2022,3,Jujuy,58.91,57.32,2.773900907187712
